帮会名,玩家,等级,职业,所在团长,击败,助攻,战备资源,对玩家伤害,对建筑伤害,治疗值,承受伤害,重伤,青灯焚骨,化羽,控制
满月,尐乖゜,69,九灵,沈临渊,6,53,0,9084053,26198118,228478,18551538,0,15,0,751
满月,夜行,69,玄机,月昭,8,63,0,2854443,96038860,36588,9255375,1,0,0,4
满月,墨染青衣颜,69,素问,小小丶,0,131,0,44781,64244,7663227,29218563,7,0,4,4
满月,一五一十,69,九灵,月昭,6,39,0,1359452,43582022,117495,14328357,2,16,0,123
满月,沈羡鱼,69,九灵,沈临渊,1,30,0,1335705,19493336,97690,14147568,4,12,0,138
满月,明月日,69,铁衣,抱月゛,3,42,0,959434,27720455,56905,9984980,0,0,0,206
满月,右边喨,69,铁衣,沈临渊,1,20,0,2662828,13275325,43100,24795298,5,0,0,582
满月,亦琛,69,血河,月昭,8,64,0,2519974,63296696,169376,12690295,1,0,0,63
满月,时有雪,69,血河,小小丶,6,85,0,10325551,7608189,403218,38750568,4,0,1,316
满月,来一刀,69,玄机,小小丶,8,72,0,6090289,4750781,100217,15182036,4,0,0,52
满月,幸运丶,69,血河,小小丶,6,56,0,4561082,5911308,303765,24679802,8,0,0,128
满月,集火,69,素问,小小丶,0,149,0,56408,13032,8053542,35754723,4,0,5,10
满月,青阳天炎,69,血河,月昭,10,66,0,2716002,48316939,129648,15740024,1,0,0,67
满月,君悦兮,69,云瑶,抱月゛,8,48,0,2969297,53948862,0,5466576,0,0,0,45
满月,余十一,69,鸿音,抱月゛,4,102,0,1494958,26420048,5847862,21245495,1,0,1,42
满月,苏棣,69,神相,沈临渊,1,41,0,4052401,20888059,0,14961059,3,0,0,359
满月,一梦醉逍遥,69,铁衣,抱月゛,2,49,0,770859,42371432,37252,10704734,0,0,0,188
满月,悬枝,69,素问,沈临渊,0,67,0,17428,0,8126812,25756996,5,0,4,0
满月,词雾,69,鸿音,月昭,4,153,0,1117032,20152055,6174213,15185074,2,0,0,34
满月,白梦辞゛,69,素问,沈临渊,0,55,0,4727,51698,7594888,15757244,3,0,2,3
满月,君不再希,69,素问,沈临渊,0,69,0,47663,73059,6700924,33489096,7,0,3,6
满月,屿禾,69,鸿音,沈临渊,0,39,0,3685099,17175266,2060600,21764577,7,0,2,111
满月,小小丶,69,鸿音,小小丶,5,133,0,4718774,1403089,3373659,27337008,6,0,3,196
满月,间风,69,铁衣,小小丶,2,77,0,1845472,2295622,174494,24898671,8,0,0,367
满月,舟云云,69,沧澜,月昭,6,60,0,2002964,26717521,84199,24148507,1,0,0,113
满月,沉迷一号,69,铁衣,月昭,2,43,0,556935,11295229,33308,25261546,0,0,0,110
满月,丫乀,69,血河,沈临渊,3,31,0,3821523,19181573,198503,18702716,5,0,2,77
满月,夜月无痕,69,沧澜,抱月゛,9,55,0,2680467,68719395,7263,28312524,0,0,0,51
满月,抱月゛,69,血河,抱月゛,5,60,0,1717099,75011843,71358,13242128,0,0,0,28
满月,爱旋转的小熊猫,69,神相,沈临渊,7,43,0,4720790,18775278,0,16659239,4,0,0,219
满月,九灬灵,69,九灵,小小丶,6,85,0,6047976,4322960,182624,23647455,2,30,0,472
满月,晨曦゛,69,素问,月昭,0,161,0,41668,134797,10833177,26159052,2,0,3,11
满月,菟菟叽゛,69,鸿音,抱月゛,1,106,0,986993,26349890,4672573,15200319,0,0,0,37
满月,云起ゞ,69,素问,抱月゛,0,110,0,30524,688016,9857616,21947504,1,0,2,5
满月,浪吖,69,神相,抱月゛,7,84,0,5030531,79058212,0,13602526,0,0,0,248
满月,小开司,69,碎梦,抱月゛,27,51,0,4128999,138184722,0,11173393,0,0,0,27
满月,星晚晚゛,69,素问,月昭,0,104,0,2092,39645,1085356,13023957,2,0,1,0
满月,张嘉怡,69,碎梦,小小丶,0,2,0,253700,6333578,0,613281,0,0,0,5
满月,小娇,69,素问,沈临渊,0,38,0,15259,179882,1809263,16000991,6,0,2,2
满月,陌上丶,69,神相,沈临渊,1,17,0,3120674,16361173,0,14587656,4,0,0,308
满月,枕星辞゛,69,神相,月昭,6,66,0,1919047,44743838,3999,16729071,4,0,0,151
满月,君卿颜,69,鸿音,抱月゛,1,97,0,1121793,27517218,2718792,17707709,1,0,0,21
满月,小椰抱,69,素问,抱月゛,0,120,0,18354,1258271,8773577,20335223,2,0,3,0
满月,五粮液,69,神相,抱月゛,6,69,0,3132414,67262944,0,9953458,0,0,0,230
满月,可爱可爱,69,素问,抱月゛,0,99,0,1440,24329,4605172,16300226,3,0,2,2
满月,木沐,69,血河,月昭,5,52,0,1692860,46661557,151152,9182901,1,0,0,55
满月,虚乌,69,血河,沈临渊,4,21,0,8551130,24042534,233975,20237787,3,0,0,309
满月,耍赖,69,素问,小小丶,0,172,0,31522,117521,7591748,31363294,7,0,7,6
满月,月昭,69,神相,月昭,11,115,0,3457841,44007268,17757,14462271,2,0,0,217
满月,小摇,69,素问,抱月゛,0,113,0,21932,197375,7090394,24810375,1,0,1,2
满月,倾诉情话,69,素问,月昭,0,154,0,6076,98485,9211191,30345747,3,0,3,0
满月,小棠,69,九灵,月昭,4,47,0,786540,55367638,139372,17843432,4,28,0,73
满月,胖大鹅,69,玄机,沈临渊,4,33,0,6208340,32240146,0,9423660,2,0,0,60
满月,水星季,69,神相,月昭,10,103,0,5906461,73790905,36856,13686668,0,0,0,314
满月,金沉沙,69,玄机,小小丶,8,75,0,4123852,9786572,131785,21082454,5,0,0,15
满月,采采卷耳゛,69,素问,抱月゛,0,104,0,13877,254871,4576618,20359160,2,0,2,2
满月,嘻嘻,69,素问,沈临渊,0,60,0,36672,182054,9952935,32177902,6,0,3,12
满月,越今朝,69,碎梦,小小丶,9,105,0,8951802,5579748,56407,21725047,3,0,0,116
满月,张辽,69,铁衣,抱月゛,2,36,0,1360877,27467759,47647,7148521,0,0,0,224
满月,烟火年年,69,神相,抱月゛,3,62,0,2590484,68127246,0,14946931,0,0,0,120
满月,曦禾゛,69,素问,小小丶,0,163,0,42174,88271,6516471,28758089,7,0,5,6
满月,丶萱寳,69,素问,月昭,0,161,0,19676,47780,8803673,19612400,3,0,2,1
满月,毒小奶,69,九灵,抱月゛,4,68,0,1591455,61423492,131389,21436036,0,38,0,154
满月,嘿嘿,69,鸿音,沈临渊,2,29,0,1860687,11834061,943005,16060231,8,0,3,54
满月,想想办法,69,玄机,小小丶,6,85,0,8135088,16360214,58388,20203746,3,0,0,51
满月,抖゛音秋秋丫,69,碎梦,月昭,10,53,0,3029943,31015200,37424,10531757,2,0,0,25
满月,愿你爱我永远,69,鸿音,沈临渊,7,46,0,3242949,9703766,4304956,29129793,5,0,2,80
满月,当心小蛋糕,69,神相,小小丶,7,114,0,15898770,5733374,91945,22841975,3,0,0,937
满月,沈临渊,69,铁衣,沈临渊,0,29,0,1083271,8637279,20478,31065018,7,0,0,264
满月,苍山映月,69,血河,小小丶,9,52,0,7556724,7570715,252315,20872387,3,0,0,176
满月,厌璃,69,素问,月昭,0,155,0,19454,27071,7271141,16731511,2,0,2,4
满月,苏棣゛,69,血河,沈临渊,0,26,0,4541341,38633534,195856,23389903,5,0,1,160
满月,白镜离゛,69,血河,沈临渊,7,22,0,4193506,26464074,187590,28964175,5,0,1,142
满月,神罚゛,69,神相,抱月゛,9,81,0,5905390,75507695,0,11013952,0,0,0,252
